ticker_name,n_iter,max_depth
ROST,100,None
RSG,50,None
RTX,50,None
RVTY,50,None
SBAC,100,None
SBUX,50,None
SCHW,50,None
SEDG,50,None
SEE,50,5
SHW,100,None
SJM,100,None
SLB,50,None
SNA,50,None
SNPS,50,None
SO,50,None
SPG,50,5
SPGI,100,None
SRE,100,None
STE,100,None
STLD,100,None
STT,50,5
STX,100,None
STZ,100,5
SWK,100,None
SWKS,100,None
SYF,50,None
SYK,100,None
SYY,100,5
T,50,None
TAP,50,None
TDG,50,None
TDY,50,None
TECH,100,5
TEL,50,5
TER,50,None
TFC,50,None
TFX,50,None
TGT,100,None
TJX,50,None
TMO,100,None
TMUS,50,None
TPR,50,None
TRGP,50,None
TRMB,50,None
TROW,100,None
TRV,100,None
TSCO,50,None
TSLA,50,None
TSN,100,5
TT,100,None
TTWO,100,None
TXN,100,None
TXT,50,5
TYL,100,None
UAL,100,None
UDR,100,5
UHS,100,None
ULTA,100,None
UNH,50,None
UNP,100,None
UPS,50,None
URI,100,5
USB,100,5
V,50,None
VFC,50,5
VICI,50,None
VLO,50,None
VMC,50,5
VRSK,50,None
VRSN,50,None
VRTX,100,5
VTR,50,5
VTRS,100,None
VZ,100,None
WAB,100,None
WAT,50,None
WBA,100,None
WBD,100,None
WDC,50,None
WEC,50,None
WELL,100,5
WFC,100,None
WHR,100,5
WM,50,None
WMB,50,None
WMT,50,None
WRB,50,None
WST,50,None
WTW,50,None
WY,100,5
WYNN,100,None
XEL,50,None
XOM,100,5
XRAY,50,None
XYL,100,5
YUM,100,None
ZBH,100,None
ZBRA,100,None
ZION,100,None
ZTS,100,None
